industry,keywords
Technology,"technology | tech | software | it | information technology | saas | platform | digital | ai | artificial intelligence | machine learning | data science | cloud | big data | informatique | technologie | tecnología | tecnologia | technik | technologia | teknologia | informatik | informatique"
Finance,"finance | financial | fintech | investment | investments | asset management | hedge fund | private equity | capital markets | finanz | finanzen | finanzwesen | finance d’entreprise | finanzas | investimentos | inwestycje"
Banking,"bank | banking | commercial bank | retail bank | central bank | investment bank | banque | banco | banca | bankwesen | kreditinstitut | sparkasse | volksbank"
Insurance,"insurance | insurer | reinsurance | underwriting | actuarial | assurance | assicurazione | seguros | verzekeringen | versicherung | försäkring"
Healthcare,"healthcare | health care | hospital | medical | medicine | pharma | pharmaceutical | biotech | life sciences | klinik | krankenhaus | medizin | santé | soins de santé | sanidad | salud | ospedale | sanità"
Education,"education | educational | university | college | school | academy | training | e-learning | learning | teaching | université | universität | universidad | école | scuola | opleiding | onderwijs"
E-commerce,"e-commerce | ecommerce | online shop | online store | online retail | marketplace | web shop | comercio electrónico | handel online | vente en ligne | commercio elettronico"
Manufacturing,"manufacturing | factory | production | industrial | industry | plant | assembly | fabrication | industrie | industria | produktion | vervaardiging | výroba"
Consulting,"consulting | consultancy | advisory | advisory services | professional services | management consulting | beratung | conseil | consultoría | consulenza | rådgivning"
Government,"government | public sector | ministry | agency | authority | municipal | federal | state | public administration | gouvernement | gobierno | regierung | öffentliche verwaltung | administración pública"
Telecommunications,"telecom | telecommunications | telco | mobile operator | network provider | carrier | télécommunications | telecomunicaciones | telekommunikation | telecomunicazioni"
Energy,"energy | oil | gas | renewable | power | electricity | utilities | solar | wind | hydrogen | energie | energía | energia | erneuerbare | energía renovable"
Retail,"retail | store | shop | brick and mortar | consumer goods | vente au détail | einzelhandel | comercio minorista | dettaglio | varejo"
Logistics,"logistics | supply chain | transportation | transport | shipping | warehouse | freight | logistik | logistique | logística | trasporto | spedizione"
Real Estate,"real estate | property | realty | housing | construction | infrastructure | immobilier | immobilien | bienes raíces | vastgoed | imobiliário | nieruchomości"